threshold,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,gc_tot,pc_tot,ov_tot,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,gate_model,gate_threshold,token_threshold
0.05,0.2467,0.846,0.382,0.2499,0.8417,0.3853,62074.0,209096.0,52245.0,0.3924,0.8992,0.5463,12830.0,39174.0,2335.0,32368.0,0.1749,0.5998,339,38,525,354,LR,0.05,0.11
0.05,0.2499,0.8214,0.3832,0.2529,0.8177,0.3864,62074.0,200676.0,50760.0,0.3971,0.8859,0.5484,12457.0,37392.0,2708.0,34150.0,0.1749,0.5749,334,43,507,372,LR,0.05,0.13
0.05,0.2528,0.7979,0.3839,0.2557,0.7948,0.387,62074.0,192928.0,49339.0,0.401,0.8647,0.5479,12100.0,35773.0,3065.0,35769.0,0.1749,0.5521,326,51,487,392,LR,0.05,0.15
0.05,0.2558,0.7722,0.3843,0.2591,0.7715,0.3879,62074.0,184839.0,47889.0,0.4005,0.8488,0.5442,11711.0,34074.0,3454.0,37468.0,0.1749,0.528,320,57,479,400,LR,0.05,0.17
0.05,0.2603,0.7449,0.3858,0.2632,0.7448,0.389,62074.0,175637.0,46234.0,0.4065,0.8302,0.5458,11297.0,32103.0,3868.0,39439.0,0.1749,0.5005,313,64,457,422,LR,0.05,0.19
0.05,0.265,0.7099,0.3859,0.2675,0.7126,0.389,62074.0,165359.0,44231.0,0.4083,0.809,0.5427,10766.0,29865.0,4399.0,41677.0,0.1749,0.4686,305,72,442,437,LR,0.05,0.21
0.05,0.2692,0.6658,0.3834,0.2712,0.671,0.3863,62074.0,153593.0,41654.0,0.4086,0.7772,0.5356,10097.0,27414.0,5068.0,44128.0,0.1749,0.4326,293,84,424,455,LR,0.05,0.23
0.05,0.2748,0.6164,0.3802,0.277,0.6261,0.3841,62074.0,140300.0,38867.0,0.4132,0.7454,0.5317,9348.0,24664.0,5817.0,46878.0,0.1749,0.3923,281,96,399,480,LR,0.05,0.25
0.05,0.2811,0.5623,0.3748,0.2824,0.5744,0.3786,62074.0,126286.0,35658.0,0.4228,0.7268,0.5346,8527.0,21805.0,6638.0,49737.0,0.1749,0.3498,274,103,374,505,LR,0.05,0.27
0.05,0.2891,0.5073,0.3683,0.29,0.5223,0.373,62074.0,111779.0,32420.0,0.4316,0.695,0.5325,7693.0,18921.0,7472.0,52621.0,0.1749,0.3069,262,115,345,534,LR,0.05,0.29
0.05,0.2973,0.4464,0.3569,0.2976,0.4632,0.3623,62074.0,96613.0,28750.0,0.4406,0.6499,0.5252,6770.0,16000.0,8395.0,55542.0,0.1749,0.2626,245,132,311,568,LR,0.05,0.31
0.05,0.305,0.3854,0.3405,0.3042,0.403,0.3467,62074.0,82230.0,25016.0,0.4573,0.5968,0.5178,5844.0,13317.0,9321.0,58225.0,0.1749,0.221,225,152,267,612,LR,0.05,0.33
0.05,0.3154,0.3245,0.3199,0.3143,0.3439,0.3284,62074.0,67929.0,21348.0,0.4743,0.5385,0.5043,4921.0,10681.0,10244.0,60861.0,0.1749,0.1799,203,174,225,654,LR,0.05,0.35
0.05,0.3262,0.266,0.2931,0.3243,0.2853,0.3035,62074.0,54612.0,17709.0,0.4974,0.4987,0.498,4034.0,8331.0,11131.0,63211.0,0.1749,0.1426,188,189,190,689,LR,0.05,0.37
0.05,0.3427,0.2134,0.263,0.3389,0.2299,0.274,62074.0,42105.0,14271.0,0.5174,0.435,0.4726,3236.0,6208.0,11929.0,65334.0,0.1749,0.1089,164,213,153,726,LR,0.05,0.39
0.07,0.2258,0.93,0.3633,0.2283,0.9257,0.3662,62074.0,251729.0,57461.0,0.3633,0.9655,0.5279,14104.0,48371.0,1061.0,23171.0,0.1749,0.7205,364,13,638,241,LR,0.07,0.05
0.07,0.2357,0.8965,0.3733,0.2383,0.8917,0.3761,62074.0,232278.0,55353.0,0.3777,0.9416,0.5391,13596.0,44089.0,1569.0,27453.0,0.1749,0.6653,355,22,585,294,LR,0.07,0.07
0.07,0.2419,0.869,0.3785,0.2448,0.8643,0.3815,62074.0,219163.0,53651.0,0.3888,0.9231,0.5472,13179.0,41298.0,1986.0,30244.0,0.1749,0.6283,348,29,547,332,LR,0.07,0.09
0.07,0.2467,0.846,0.382,0.2499,0.8417,0.3853,62074.0,209096.0,52245.0,0.3924,0.8992,0.5463,12830.0,39174.0,2335.0,32368.0,0.1749,0.5998,339,38,525,354,LR,0.07,0.11
0.07,0.2499,0.8214,0.3832,0.2529,0.8177,0.3864,62074.0,200676.0,50760.0,0.3971,0.8859,0.5484,12457.0,37392.0,2708.0,34150.0,0.1749,0.5749,334,43,507,372,LR,0.07,0.13
0.07,0.2528,0.7979,0.3839,0.2557,0.7948,0.387,62074.0,192928.0,49339.0,0.401,0.8647,0.5479,12100.0,35773.0,3065.0,35769.0,0.1749,0.5521,326,51,487,392,LR,0.07,0.15
0.07,0.2558,0.7722,0.3843,0.2591,0.7715,0.3879,62074.0,184839.0,47889.0,0.4005,0.8488,0.5442,11711.0,34074.0,3454.0,37468.0,0.1749,0.528,320,57,479,400,LR,0.07,0.17
0.07,0.2603,0.7449,0.3858,0.2632,0.7448,0.389,62074.0,175637.0,46234.0,0.4065,0.8302,0.5458,11297.0,32103.0,3868.0,39439.0,0.1749,0.5005,313,64,457,422,LR,0.07,0.19
0.07,0.265,0.7099,0.3859,0.2675,0.7126,0.389,62074.0,165359.0,44231.0,0.4083,0.809,0.5427,10766.0,29865.0,4399.0,41677.0,0.1749,0.4686,305,72,442,437,LR,0.07,0.21
