threshold,token_precision,token_recall,token_f1,token_auroc,token_pr_auc,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,n_pred_spans,avg_pred_span_len
0.66,1.0,6.594131223211343e-05,0.00013187392852433074,0.6994703827400888,0.2996233296882518,1.0,1.6109804426974256e-05,3.2219089810712846e-05,1.0,0.002652519893899204,0.005291005291005291,1,0,15164,71542,0.1748993737529842,1.1533094213846632e-05,1,1.0
0.67,1.0,6.594131223211343e-05,0.00013187392852433074,0.6994703827400888,0.2996233296882518,1.0,1.6109804426974256e-05,3.2219089810712846e-05,1.0,0.002652519893899204,0.005291005291005291,1,0,15164,71542,0.1748993737529842,1.1533094213846632e-05,1,1.0
0.68,1.0,6.594131223211343e-05,0.00013187392852433074,0.6994703827400888,0.2996233296882518,1.0,1.6109804426974256e-05,3.2219089810712846e-05,1.0,0.002652519893899204,0.005291005291005291,1,0,15164,71542,0.1748993737529842,1.1533094213846632e-05,1,1.0
0.69,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.7,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.71,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.72,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.73,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.74,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.75,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.76,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.77,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.78,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.79,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
0.8,0.0,0.0,0.0,0.6994703827400888,0.2996233296882518,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15165,71542,0.1748993737529842,0.0,0,0.0
